,CustomerID,CompanyName,ContactName,ContactTitle,OrderID,EmployeeID,Freight
0,ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,10643,6,29.46
1,ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,10692,4,61.02
2,ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,10702,4,23.94
3,ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,10835,1,69.53
4,ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,10952,1,40.42
5,ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,11011,3,1.21
6,ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,10308,7,1.61
7,ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,10625,3,43.9
8,ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,10759,3,11.99
9,ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,10926,4,39.92
10,ANTON,Antonio Moreno TaquerÃ­a,Antonio Moreno,Owner,10365,3,22.0
11,ANTON,Antonio Moreno TaquerÃ­a,Antonio Moreno,Owner,10507,7,47.45
12,ANTON,Antonio Moreno TaquerÃ­a,Antonio Moreno,Owner,10535,4,15.64
13,ANTON,Antonio Moreno TaquerÃ­a,Antonio Moreno,Owner,10573,7,84.84
14,ANTON,Antonio Moreno TaquerÃ­a,Antonio Moreno,Owner,10677,1,4.03
15,ANTON,Antonio Moreno TaquerÃ­a,Antonio Moreno,Owner,10682,3,36.13
16,ANTON,Antonio Moreno TaquerÃ­a,Antonio Moreno,Owner,10856,3,58.43
17,AROUT,Around the Horn,Thomas Hardy,Sales Representative,10355,6,41.95
18,AROUT,Around the Horn,Thomas Hardy,Sales Representative,10383,8,34.24
19,AROUT,Around the Horn,Thomas Hardy,Sales Representative,10453,1,25.36
20,AROUT,Around the Horn,Thomas Hardy,Sales Representative,10558,1,72.97
21,AROUT,Around the Horn,Thomas Hardy,Sales Representative,10707,4,21.74
22,AROUT,Around the Horn,Thomas Hardy,Sales Representative,10741,4,10.96
23,AROUT,Around the Horn,Thomas Hardy,Sales Representative,10743,1,23.72
24,AROUT,Around the Horn,Thomas Hardy,Sales Representative,10768,3,146.32
25,AROUT,Around the Horn,Thomas Hardy,Sales Representative,10793,3,4.52
26,AROUT,Around the Horn,Thomas Hardy,Sales Representative,10864,4,3.04
27,AROUT,Around the Horn,Thomas Hardy,Sales Representative,10920,4,29.61
28,AROUT,Around the Horn,Thomas Hardy,Sales Representative,10953,9,23.72
29,AROUT,Around the Horn,Thomas Hardy,Sales Representative,11016,9,33.8
30,BERGS,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,10278,8,92.69
31,BERGS,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,10280,2,8.98
32,BERGS,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,10384,3,168.64
33,BERGS,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,10444,3,3.5
34,BERGS,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,10445,3,9.3
35,BERGS,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,10524,1,244.79
36,BERGS,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,10572,3,116.43
37,BERGS,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,10626,1,138.69
38,BERGS,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,10654,5,55.26
39,BERGS,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,10672,9,95.75
40,BERGS,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,10689,1,13.42
41,BERGS,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,10733,1,110.11
42,BERGS,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,10778,3,6.79
43,BERGS,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,10837,9,13.32
44,BERGS,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,10857,8,188.85
45,BERGS,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,10866,5,109.11
46,BERGS,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,10875,4,32.37
47,BERGS,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,10924,3,151.52
48,BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,10501,9,8.85
49,BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,10509,4,0.15
50,BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,10582,3,27.71
51,BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,10614,8,1.93
52,BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,10853,9,53.83
53,BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,10956,6,44.65
54,BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,11058,9,31.14
55,BLONP,Blondesddsl pÃ¨re et fils,FrÃ©dÃ©rique Citeaux,Marketing Manager,10265,2,55.28
56,BLONP,Blondesddsl pÃ¨re et fils,FrÃ©dÃ©rique Citeaux,Marketing Manager,10297,5,5.74
57,BLONP,Blondesddsl pÃ¨re et fils,FrÃ©dÃ©rique Citeaux,Marketing Manager,10360,4,131.7
58,BLONP,Blondesddsl pÃ¨re et fils,FrÃ©dÃ©rique Citeaux,Marketing Manager,10436,3,156.66
59,BLONP,Blondesddsl pÃ¨re et fils,FrÃ©dÃ©rique Citeaux,Marketing Manager,10449,3,53.3
60,BLONP,Blondesddsl pÃ¨re et fils,FrÃ©dÃ©rique Citeaux,Marketing Manager,10559,6,8.05
61,BLONP,Blondesddsl pÃ¨re et fils,FrÃ©dÃ©rique Citeaux,Marketing Manager,10566,9,88.4
62,BLONP,Blondesddsl pÃ¨re et fils,FrÃ©dÃ©rique Citeaux,Marketing Manager,10584,4,59.14
63,BLONP,Blondesddsl pÃ¨re et fils,FrÃ©dÃ©rique Citeaux,Marketing Manager,10628,4,30.36
64,BLONP,Blondesddsl pÃ¨re et fils,FrÃ©dÃ©rique Citeaux,Marketing Manager,10679,8,27.94
65,BLONP,Blondesddsl pÃ¨re et fils,FrÃ©dÃ©rique Citeaux,Marketing Manager,10826,6,7.09
66,BOLID,BÃ³lido Comidas preparadas,MartÃ­n Sommer,Owner,10326,4,77.92
67,BOLID,BÃ³lido Comidas preparadas,MartÃ­n Sommer,Owner,10801,4,97.09
68,BOLID,BÃ³lido Comidas preparadas,MartÃ­n Sommer,Owner,10970,9,16.16
69,BONAP,Bon app',Laurence Lebihan,Owner,10331,9,10.19
70,BONAP,Bon app',Laurence Lebihan,Owner,10340,1,166.31
71,BONAP,Bon app',Laurence Lebihan,Owner,10362,3,96.04
72,BONAP,Bon app',Laurence Lebihan,Owner,10470,4,64.56
73,BONAP,Bon app',Laurence Lebihan,Owner,10511,4,350.64
74,BONAP,Bon app',Laurence Lebihan,Owner,10525,1,11.06
75,BONAP,Bon app',Laurence Lebihan,Owner,10663,2,113.15
76,BONAP,Bon app',Laurence Lebihan,Owner,10715,3,63.2
77,BONAP,Bon app',Laurence Lebihan,Owner,10730,5,20.12
78,BONAP,Bon app',Laurence Lebihan,Owner,10732,3,16.97
79,BONAP,Bon app',Laurence Lebihan,Owner,10755,4,16.71
80,BONAP,Bon app',Laurence Lebihan,Owner,10827,1,63.54
81,BONAP,Bon app',Laurence Lebihan,Owner,10871,9,112.27
82,BONAP,Bon app',Laurence Lebihan,Owner,10876,7,60.42
83,BONAP,Bon app',Laurence Lebihan,Owner,10932,8,134.64
84,BONAP,Bon app',Laurence Lebihan,Owner,10940,8,19.77
85,BONAP,Bon app',Laurence Lebihan,Owner,11076,4,38.28
86,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,10389,4,47.42
87,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,10410,3,2.4
88,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,10411,9,23.65
89,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,10431,4,44.17
90,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,10492,3,62.89
91,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,10742,3,243.73
92,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,10918,3,48.83
93,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,10944,6,52.92
94,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,10949,2,74.44
95,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,10975,1,32.27
96,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,10982,2,14.01
97,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,11027,1,52.52
98,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,11045,6,70.58
99,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,11048,7,24.12
100,BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,10289,7,22.77
101,BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,10471,2,45.59
102,BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,10484,3,6.88
103,BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,10538,9,4.87
104,BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,10539,6,12.36
105,BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,10578,4,29.6
106,BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,10599,6,29.98
107,BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,10943,4,2.17
108,BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,10947,3,3.26
109,BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,11023,1,123.83
110,CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,10521,8,17.22
111,CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,10782,9,1.1
112,CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,10819,2,19.76
113,CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,10881,4,2.84
114,CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,10937,7,31.51
115,CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,11054,8,0.33
116,CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,10259,4,3.25
117,CHOPS,Chop-suey Chinese,Yang Wang,Owner,10254,5,22.98
118,CHOPS,Chop-suey Chinese,Yang Wang,Owner,10370,6,1.17
119,CHOPS,Chop-suey Chinese,Yang Wang,Owner,10519,6,91.76
120,CHOPS,Chop-suey Chinese,Yang Wang,Owner,10731,7,96.65
121,CHOPS,Chop-suey Chinese,Yang Wang,Owner,10746,1,31.43
122,CHOPS,Chop-suey Chinese,Yang Wang,Owner,10966,4,27.19
123,CHOPS,Chop-suey Chinese,Yang Wang,Owner,11029,4,47.84
124,CHOPS,Chop-suey Chinese,Yang Wang,Owner,11041,3,48.22
125,COMMI,ComÃ©rcio Mineiro,Pedro Afonso,Sales Associate,10290,8,79.7
126,COMMI,ComÃ©rcio Mineiro,Pedro Afonso,Sales Associate,10466,4,11.93
127,COMMI,ComÃ©rcio Mineiro,Pedro Afonso,Sales Associate,10494,4,65.99
128,COMMI,ComÃ©rcio Mineiro,Pedro Afonso,Sales Associate,10969,1,0.21
129,COMMI,ComÃ©rcio Mineiro,Pedro Afonso,Sales Associate,11042,2,29.99
130,CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,10435,8,9.21
131,CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,10462,2,6.17
132,CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,10848,7,38.24
133,DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,10363,4,30.54
134,DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,10391,3,5.45
135,DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,10797,7,33.35
136,DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,10825,1,79.25
137,DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,11036,8,149.47
